DATASET,SEQ,APP_COLUMN,LABEL,TYPE,PRIORITY,CONTROLLED_TERMS,DESCRIPTION,VENDOR_CAN_PROVIDE,VENDOR_COLUMN_NAME,VENDOR_FORMAT,VENDOR_NOTE
TRANSFER_HEADER,1,STUDYID,시험 식별자,text,MUST,,Protocol number,,,,
TRANSFER_HEADER,2,DATASET_CODE,데이터셋 코드,code,MUST,EXT_SAMPLE_RECON | EXT_IMAGE_RECON,어느 형식의 파일인지,,,,
TRANSFER_HEADER,3,TEMPLATE_VERSION,Template 버전,text,MUST,,합의된 template 버전,,,,
TRANSFER_HEADER,4,TRANSFER_ID,전송 식별자,text,SHOULD,,사내 관리 번호,,,,
TRANSFER_HEADER,5,TRANSFER_TYPE,전송 유형,code,MUST,CUMULATIVE | INCREMENTAL,누적 전송 요청. DTS 합의 항목,,,,
TRANSFER_HEADER,6,SRC_SYSTEM,원본 시스템,text,MUST,,vendor 시스템명. 복수는 세미콜론 구분,,,,
TRANSFER_HEADER,7,SRC_EXTRACT_DTC,원본 추출 기준일,date,MUST,,vendor 시스템에서 데이터를 뽑은 시점. 파일 작성일 아님,,,,
TRANSFER_HEADER,8,SRC_FILE_REF,원본 파일 참조,text,SHOULD,,원본 파일명 또는 관리 번호,,,,
TRANSFER_HEADER,9,PERIOD_FROM,대상 기간 시작,date,SHOULD,,INCREMENTAL인 경우 필수,,,,
TRANSFER_HEADER,10,PERIOD_TO,대상 기간 종료,date,SHOULD,,INCREMENTAL인 경우 필수,,,,
TRANSFER_HEADER,11,ROW_COUNT,데이터 행 수,number,SHOULD,,전송 중 잘림 탐지용,,,,
TRANSFER_HEADER,12,PREPARED_BY,작성자,text,MUST,,표준 파일 작성자,,,,
TRANSFER_HEADER,13,PREPARED_DTC,작성일,date,MUST,,,,,,
TRANSFER_HEADER,14,NOTE,비고,text,NICE,,부분 추출 등 특이사항,,,,
EXT_SAMPLE_RECON,1,STUDYID,시험 식별자,text,MUST,,,,,,
EXT_SAMPLE_RECON,2,SITEID,사이트 식별자,text,MUST,,,,,,
EXT_SAMPLE_RECON,3,SUBJID,피험자 번호,text,MUST,,시험 내 유일,,,,
EXT_SAMPLE_RECON,4,VISITID,방문 코드,text,MUST,,SoA의 방문 코드와 일치해야 함,,,,
EXT_SAMPLE_RECON,5,VISITNUM,방문 순서,number,NICE,,정렬용,,,,
EXT_SAMPLE_RECON,6,VISIT,방문 표시명,text,NICE,,화면 표시용,,,,
EXT_SAMPLE_RECON,7,KITTYPE,Kit 유형,code,MUST,PK | ADA | NAB | PD | BIOMARKER | GENOMIC | SAFETY_LAB | PREGNANCY | OTHER,매칭 키. 없으면 유형별 누락을 구분 못 함,,,,
EXT_SAMPLE_RECON,8,TPTNUM,Nominal timepoint 번호,number,MUST,,매칭 키. 단일 채취는 0. 없으면 같은 방문의 다중 시점이 구분 안 됨,,,,
EXT_SAMPLE_RECON,9,TPTNAME,Timepoint 표시명,text,SHOULD,,"Pre-dose, 1h post-dose 등",,,,
EXT_SAMPLE_RECON,10,REPEATSEQ,재채취 순번,number,SHOULD,,최초 1. 재채취 추적에 필요,,,,
EXT_SAMPLE_RECON,11,KITID,Kit / barcode ID,text,SHOULD,,1차 매칭 식별자,,,,
EXT_SAMPLE_RECON,12,ACCESSNO,Lab accession number,text,SHOULD,,보조 매칭 키. 피험자 간 중복 사례가 알려져 있어 단독 사용 불가,,,,
EXT_SAMPLE_RECON,13,EDC_COLLFL,[EDC] 채취 여부,Y/N,MUST,Y | N,대조 판정의 한 축,,,,
EXT_SAMPLE_RECON,14,EDC_COLLDTC,[EDC] 채취일,date,MUST,,중앙랩 도착 기한의 기준일. 없으면 기한 계산 불가,,,,
EXT_SAMPLE_RECON,15,EDC_COLLTM,[EDC] 채취 시각,time,SHOULD,,PK 시점 대조용,,,,
EXT_SAMPLE_RECON,16,EDC_TPTNAME,[EDC] Timepoint,text,SHOULD,,TPTNAME과 대조,,,,
EXT_SAMPLE_RECON,17,EDC_NOTDONERS,[EDC] 미채취 사유,text,NICE,,,,,,
EXT_SAMPLE_RECON,18,EDC_ENTERDTC,[EDC] 입력일,date,NICE,,입력 지연 분석용,,,,
EXT_SAMPLE_RECON,19,CL_LABID,[Central] Lab 식별자,text,NICE,,복수 lab 운영 시,,,,
EXT_SAMPLE_RECON,20,CL_RECVFL,[Central] 수령 여부,Y/N,MUST,Y | N,대조 판정의 다른 한 축,,,,
EXT_SAMPLE_RECON,21,CL_COLLDTC,[Central] Lab 기록 채취일,date,SHOULD,,EDC_COLLDTC와 대조. 불일치 탐지의 핵심,,,,
EXT_SAMPLE_RECON,22,CL_COLLTM,[Central] Lab 기록 채취시각,time,NICE,,,,,,
EXT_SAMPLE_RECON,23,CL_SHIPDTC,[Central] 사이트 출고일,date,SHOULD,,기록만. 기한 계산에는 미사용,,,,
EXT_SAMPLE_RECON,24,CL_RECVDTC,[Central] 도착일,date,MUST,,도착 단계 완료 판정. 없으면 진척률 계산 불가,,,,
EXT_SAMPLE_RECON,25,CL_SAMPSTAT,[Central] 샘플 상태,code,MUST,NOT_SHIPPED | IN_TRANSIT | RECEIVED | LOST | REJECTED,,,,,
EXT_SAMPLE_RECON,26,CL_CONDITION,[Central] 수령 상태,code,NICE,ACCEPTABLE | COMPROMISED,,,,,
EXT_SAMPLE_RECON,27,CL_ISSUETYPE,[Central] 이슈 유형,code,SHOULD,HEMOLYSIS | INSUFF_VOL | TEMP_EXCURSION | BROKEN_CONTAINER | LABEL_MISMATCH | WRONG_TUBE | EXPIRED_KIT | CLOTTED | OTHER,예외 처리 사유 분류에 사용,,,,
EXT_SAMPLE_RECON,28,CL_ISSUETXT,[Central] 이슈 상세,text,NICE,,,,,,
EXT_SAMPLE_RECON,29,CL_ALIQUOTN,[Central] 분주 개수,number,NICE,,,,,,
EXT_SAMPLE_RECON,30,CL_SHIPBADTC,[Central] 분석랩 출고일,date,SHOULD,,분석랩 도착 기한의 기준일,,,,
EXT_SAMPLE_RECON,31,BA_LABID,[Bioanalytics] Lab 식별자,text,NICE,,,,,,
EXT_SAMPLE_RECON,32,BA_RECVFL,[Bioanalytics] 수령 여부,Y/N,SHOULD,Y | N,,,,,
EXT_SAMPLE_RECON,33,BA_RECVDTC,[Bioanalytics] 도착일,date,SHOULD,,,,,,
EXT_SAMPLE_RECON,34,BA_ASSAYCD,[Bioanalytics] 분석법 코드,text,NICE,,,,,,
EXT_SAMPLE_RECON,35,BA_ANALSTAT,[Bioanalytics] 분석 상태,code,SHOULD,NOT_ASSIGNED | ASSIGNED | ANALYZED | REJECTED,,,,,
EXT_SAMPLE_RECON,36,BA_ANALDTC,[Bioanalytics] 분석 완료일,date,SHOULD,,,,,,
EXT_SAMPLE_RECON,37,BA_RESULTFL,[Bioanalytics] 결과 전달 여부,Y/N,NICE,Y | N,결과값 자체는 요청하지 않음,,,,
EXT_SAMPLE_RECON,38,BA_REJRS,[Bioanalytics] 거부 사유,text,NICE,,,,,,
EXT_SAMPLE_RECON,39,RECON_STATUS,[대조] 파일 작성자 판정,code,NICE,MATCHED | EDC_ONLY | VENDOR_ONLY | DISCREPANT | AMBIGUOUS | RESOLVED,참고값. 앱은 원시값으로 자체 판정,,,,
